"主管機關","地區","熱點名稱","地址","緯度","經度"
"文化部","臺北市","華山文化創意園區服務中心","100臺北市中正區八德路一段1號(中1館)","25.044152","121.529415"
"立法院","臺北市","立法院大門會客室","100臺北市中正區中山南路1號","25.043965","121.519581"
"教育部","臺北市","國家圖書館2樓參考室","100臺北市中正區中山南路20號","25.03717","121.516567"
"教育部","臺北市","國家圖書館5樓閱覽室","100臺北市中正區中山南路20號","25.03717","121.516567"
"教育部","臺北市","國家圖書館6樓閱覽室","100臺北市中正區中山南路20號","25.03717","121.516567"
"教育部","臺北市","國家圖書館B1樓閱覽室","100臺北市中正區中山南路20號","25.03717","121.516567"
"教育部","臺北市","國家圖書館閱覽室","100臺北市中正區中山南路20號","25.03717","121.516567"
"教育部","臺北市","國立中正文化中心國家音樂廳售票口左側","100臺北市中正區中山南路21-1號","25.036675","121.519046"
"教育部","臺北市","國立中正文化中心國家戲劇院福華劇院軒入口處","100臺北市中正區中山南路21-1號","25.036675","121.519046"
"文化部","臺北市","國立中正紀念堂管理處堂內大忠門及大孝門服務台","100臺北市中正區中山南路21號","25.0347299","121.521932"
"教育部","臺北市","教育部一樓大廳","100臺北市中正區中山南路5號","25.042749","121.51915"
"教育部","臺北市","教育部前門廣場","100臺北市中正區中山南路5號","25.042749","121.51915"
"教育部","臺北市","國立臺灣大學附設醫院東址院區1樓大廳","100臺北市中正區中山南路7號","25.041049","121.518552"
"經濟部","臺北市","經濟部礦務局5樓公開閱覽室","100臺北市中正區中華路1段53號5樓","25.043418","121.508875"
"行政院環境保護署","臺北市","行政院環境保護署會客室","100臺北市中正區中華路一段83號1樓","25.038559","121.507672"
"行政院環境保護署","臺北市","行政院環境保護署記者室","100臺北市中正區中華路一段83號3樓","25.038559","121.507672"
"行政院環境保護署","臺北市","行政院環境保護署會議室","100臺北市中正區中華路一段83號4樓","25.038559","121.507672"
"交通部","臺北市","交通通訊傳播大樓10樓","100臺北市中正區仁愛路1段50號10樓","25.038201","121.524791"
"交通部","臺北市","交通通訊傳播大樓16樓","100臺北市中正區仁愛路1段50號16樓","25.038201","121.524791"
"交通部","臺北市","交通通訊傳播大樓18樓","100臺北市中正區仁愛路1段50號18樓","25.038201","121.524791"
"交通部","臺北市","交通通訊傳播大樓19樓","100臺北市中正區仁愛路1段50號19樓","25.038201","121.524791"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓1樓大廳","100臺北市中正區仁愛路1段50號1樓","25.038181","121.524786"
"交通部","臺北市","交通通訊傳播大樓20樓","100臺北市中正區仁愛路1段50號20樓","25.038201","121.524791"
"交通部","臺北市","交通通訊傳播大樓21樓","100臺北市中正區仁愛路1段50號21樓","25.038201","121.524791"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓7樓","100臺北市中正區仁愛路1段50號7樓","25.038113","121.524684"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓8樓","100臺北市中正區仁愛路1段50號8樓","25.038113","121.524684"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓9樓","100臺北市中正區仁愛路1段50號9樓","25.038113","121.524684"
"交通部","臺北市","交通通信傳播大樓1樓服務台","100臺北市中正區仁愛路一段50號","25.038181","121.524786"
"衛生福利部","臺北市","中央健康保險署-臺北(公園路)聯合門診中心1樓","100臺北市中正區公園路15-1號1樓","25.044786","121.517406"
"衛生福利部","臺北市","中央健康保險署-臺北業務組公保大樓5樓聯合服務中心","100臺北市中正區公園路15-1號1樓","25.044786","121.517406"
"交通部","臺北市","交通部中央氣象局1樓大廳","100臺北市中正區公園路64號","25.044624","121.516876"
"交通部","臺北市","交通部中央氣象局4樓公關室","100臺北市中正區公園路64號409室","25.037511","121.514229"
"行政院院本部","臺北市","行政院發言人辦公室接待中心","100臺北市中正區天津街2號","25.046469","121.5218"
"交通部","臺北市","台北火車站郵局","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站R13票房","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站大廳西側","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站大廳東側","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站地下一樓東南角","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站地下三樓剪收票口(R13)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站西剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站東剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局行政處檔案閱覽室","100臺北市中正區北平西路3號4樓4101室","25.048203","121.515698"
"交通部","臺北市","臺鐵局秘書室新聞聯絡室","100臺北市中正區北平西路3號5樓5007室","25.048203","121.515698"
"交通部","臺北市","臺鐵局材料處公開閱覽室","100臺北市中正區北平西路3號5樓5075室","25.048203","121.515698"
"交通部","臺北市","臺鐵局秘書室國會聯絡室","100臺北市中正區北平西路3號6樓6002室","25.048203","121.515698"
"行政院院本部","臺北市","行政院院本部會客室","100臺北市中正區北平東路2號","25.046938","121.520733"
"文化部","臺北市","文化部1樓","100臺北市中正區北平東路30-1號","25.045507","121.526646"
